20 de dezembro	2912	37	34	1	1	63191
21 de dezembro	1848	20	15	2	0	63187
22 de dezembro	1015	14	13	1	3	63186
23 de dezembro	1001	19	13	0	0	63185
24 de dezembro	1033	17	7	0	0	63183
25 de dezembro	1414	30	16	1	0	63182
26 de dezembro	2034	46	29	0	0	63181
27 de dezembro	2104	59	20	4	3	63175
28 de dezembro	1612	43	32	1	1	63169
29 de dezembro	1736	51	21	0	3	63163
30 de dezembro	1711	44	21	2	0	63161
31 de dezembro	1392	28	28	2	3	63158
1 de janeiro	1285	23	22	0	0	63154
2 de janeiro	1578	39	22	1	2	63152
3 de janeiro	1727	29	23	4	1	63149
4 de janeiro	2033	26	25	5	0	63145
5 de janeiro	1613	38	20	1	4	63137
6 de janeiro	1787	42	31	1	0	63131
7 de janeiro	1971	40	39	2	5	63122
8 de janeiro	2093	25	53	5	0	63120
9 de janeiro	1144	28	15	2	1	63109
10 de janeiro	5800	64	106	12	5	63110
11 de janeiro	1969	34	30	4	1	63109
12 de janeiro	1592	33	46	1	2	63105
13 de janeiro	1803	24	23	7	1	63097
14 de janeiro	1450	28	20	1	1	63093
15 de janeiro	1618	31	14	0	1	63088
16 de janeiro	1722	34	21	2	1	63084
17 de janeiro	1810	35	17	0	4	63086
18 de janeiro	1677	24	40	1	1	63088
19 de janeiro	1217	22	20	0	3	63078
20 de janeiro	1306	32	16	2	1	63070
21 de janeiro	40309	321	521	28	38	63114
22 de janeiro	255749	1362	3480	143	320	63573
23 de janeiro	130655	1462	1627	78	104	63821
24 de janeiro	43837	588	474	25	41	63891
25 de janeiro	12146	210	160	13	18	63899
26 de janeiro	9770	127	118	5	7	63911
27 de janeiro	9722	123	160	19	8	63924
28 de janeiro	7535	93	113	12	6	63932
29 de janeiro	8086	95	114	8	7	63940
30 de janeiro	9665	76	154	8	11	63947
31 de janeiro	29673	176	280	15	25	63961
1 de fevereiro	43183	345	572	31	20	64023
2 de fevereiro	64565	700	1222	42	32	64281
3 de fevereiro	35946	389	596	16	31	64430
4 de fevereiro	15533	177	240	8	15	64475
5 de fevereiro	41481	180	216	16	37	64494
6 de fevereiro	87499	424	646	30	101	64563
7 de fevereiro	46394	203	469	25	72	64608
8 de fevereiro	26020	280	379	17	22	64648
9 de fevereiro	25948	470	529	51	23	64741
10 de fevereiro	19540	283	372	35	25	64800
11 de fevereiro	21646	454	407	23	23	64887
12 de fevereiro	14499	176	241	16	15	64925
13 de fevereiro	14566	171	215	12	10	64946
14 de fevereiro	10601	135	173	30	7	64961
15 de fevereiro	7620	121	123	8	9	64996
16 de fevereiro	9782	142	194	13	8	65020
17 de fevereiro	28392	299	470	22	12	65085
18 de fevereiro	34492	313	630	28	16	65166
19 de fevereiro	16515	154	236	17	14	65199
20 de fevereiro	12049	147	172	9	6	65225
21 de fevereiro	20314	277	344	24	29	65260
22 de fevereiro	23677	333	460	28	26	65298
23 de fevereiro	20768	287	387	16	10	65346
24 de fevereiro	14822	202	287	12	12	65387
25 de fevereiro	11202	168	242	11	17	65416
26 de fevereiro	9510	158	165	14	7	65439
27 de fevereiro	9571	139	173	8	4	65461
28 de fevereiro	7369	86	131	5	4	65467
1 de março	9195	91	157	3	5	65474
2 de março	9992	108	166	10	9	65496
3 de março	11743	145	203	7	8	65516
4 de março	12910	184	259	16	10	65549
5 de março	9674	140	213	6	10	65582
6 de março	8305	113	141	8	7	65608
7 de março	7566	112	142	3	4	65621
8 de março	7339	102	122	4	8	65638
9 de março	9513	110	152	10	12	65651
10 de março	7052	124	132	15	9	65670
11 de março	7411	91	125	10	10	65691
12 de março	6918	107	112	3	4	65710
13 de março	7434	85	189	1	9	65727
14 de março	6516	100	152	8	6	65744
15 de março	6287	93	141	7	4	65757
16 de março	7142	80	122	9	10	65768
17 de março	7326	67	119	7	4	65778
18 de março	6682	88	147	10	4	65800
19 de março	6679	113	170	8	13	65827
20 de março	5195	62	142	4	10	65834
21 de março	4768	69	122	6	16	65845
22 de março	4883	75	106	8	6	65870
23 de março	5213	87	114	4	12	65884
24 de março	3927	64	76	3	8	65892
25 de março	3779	56	84	9	6	65900
26 de março	3862	67	87	8	6	65907
27 de março	6264	127	153	11	12	65933
28 de março	7300	129	175	13	12	65950
29 de março	6880	127	159	12	15	65976
30 de março	10415	178	289	16	11	65989
31 de março	7932	164	196	16	18	66015
1 de abril	5824	92	152	19	13	66033
2 de abril	7645	120	199	12	7	66062
3 de abril	6793	146	199	16	12	66092
4 de abril	7964	166	227	29	13	66120
5 de abril	8339	176	249	19	17	66155
6 de abril	6661	137	176	15	15	66180
7 de abril	6251	117	183	11	18	66211
8 de abril	5343	133	133	17	10	66234
9 de abril	4428	91	151	9	15	66248
10 de abril	4127	61	191	10	8	66260
11 de abril	3538	54	88	6	8	66265
12 de abril	2591	33	51	9	8	66268
13 de abril	2727	41	54	3	6	66271
14 de abril	35673	329	459	23	21	66291
15 de abril	155251	1824	1814	168	188	66467
16 de abril	114825	1770	1714	301	161	66671
17 de abril	89185	1290	1399	160	121	66838
18 de abril	35237	481	659	101	55	66948
19 de abril	21070	291	448	78	42	66999
20 de abril	15610	220	333	42	38	67071
21 de abril	15945	227	337	37	19	67130
22 de abril	39037	918	709	120	42	67161
23 de abril	361708	9457	3872	235	275	67541
24 de abril	209810	5911	2335	90	262	67728
25 de abril	146058	3891	1492	87	164	67900
26 de abril	48518	1321	696	41	62	67963
27 de abril	18000	382	277	27	18	67997
28 de abril	13748	247	329	37	15	68029
29 de abril	10346	186	225	14	16	68044
30 de abril	12133	241	250	21	20	68065
1 de maio	26768	975	411	24	29	68094
2 de maio	32795	1094	567	28	64	68143
3 de maio	41707	1249	608	36	40	68183
4 de maio	50544	1407	790	35	70	68228
5 de maio	52896	1653	843	34	102	68277
6 de maio	37115	1241	629	29	55	68317
7 de maio	19170	467	365	27	26	68333
8 de maio	29592	505	503	24	31	68393
9 de maio	28267	542	442	20	20	68441
10 de maio	30308	896	468	20	38	68476
11 de maio	28373	789	401	18	31	68494
12 de maio	46138	1153	827	35	51	68555
13 de maio	55779	986	820	60	73	68622
14 de maio	68412	1031	1051	68	89	68734
15 de maio	87424	1651	1706	96	141	68885
16 de maio	55392	1068	1152	99	118	69054
17 de maio	48044	914	956	72	94	69160
18 de maio	47429	1076	790	54	72	69231
19 de maio	45542	1163	819	84	71	69348
20 de maio	24962	542	537	99	46	69413
21 de maio	25278	705	588	104	44	69484
22 de maio	25183	692	679	112	50	69568
23 de maio	28474	912	750	140	60	69636
24 de maio	22329	802	494	72	42	69687
25 de maio	20439	729	484	90	36	69746
26 de maio	17349	535	417	50	28	69773
27 de maio	16987	538	349	26	25	69806
28 de maio	21402	851	402	35	35	69837
29 de maio	25155	1207	479	21	33	69860
30 de maio	31222	1672	683	23	56	69888
31 de maio	33664	1602	692	40	60	69931
1 de junho	26009	928	549	41	38	69990
2 de junho	26055	860	471	29	42	70042
3 de junho	53174	2219	939	58	83	70089
4 de junho	61551	2568	1164	26	75	70178
5 de junho	71700	4013	1447	39	155	70251
6 de junho	55034	2165	989	26	108	70303
7 de junho	30288	739	469	14	49	70332
8 de junho	20064	526	332	30	33	70373
9 de junho	16735	383	424	19	25	70413
10 de junho	14014	268	285	25	10	70439
11 de junho	11914	214	256	31	16	70453
12 de junho	10659	200	237	13	12	70475
13 de junho	9344	186	205	14	26	70499
14 de junho	10387	261	237	21	19	70524
15 de junho	12747	317	236	17	13	70551
16 de junho	10967	273	260	22	13	70584
17 de junho	10332	258	239	10	13	70602
18 de junho	14338	451	316	26	18	70642
19 de junho	12868	435	342	14	21	70669
20 de junho	867263	40442	20947	355	3065	71626
